rts,src,dest,seqn,hops
841000000.0,21,21,0,2
841000000.0,19,25,0,7
841000000.0,13,25,0,6
842000000.0,26,26,0,2
842000000.0,15,15,0,2
842000000.0,23,22,0,1
842000000.0,24,23,0,1
842000000.0,22,19,0,2
842000000.0,18,19,0,1
842000000.0,20,14,0,2
842000000.0,11,15,0,1
842000000.0,14,26,0,6
842000000.0,26,22,1,1
842000000.0,14,20,1,2
842000000.0,19,16,1,1
842000000.0,21,13,1,4
842000000.0,20,21,1,1
842000000.0,18,19,1,1
842000000.0,17,24,0,3
842000000.0,23,18,1,3
842000000.0,22,17,1,2
842000000.0,25,16,0,4
842000000.0,16,12,0,1
842000000.0,24,22,1,1
842000000.0,15,17,1,1
842000000.0,11,23,1,4
842000000.0,22,23,2,1
843000000.0,12,21,2,4
843000000.0,18,19,2,1
843000000.0,17,13,1,1
843000000.0,13,22,1,5
843000000.0,19,25,2,7
843000000.0,11,24,2,4
843000000.0,24,25,2,1
843000000.0,18,16,3,2
843000000.0,20,15,2,2
843000000.0,24,17,3,3
843000000.0,25,16,1,4
843000000.0,17,18,2,1
843000000.0,23,22,2,1
843000000.0,11,13,3,1
843000000.0,12,25,3,6
843000000.0,13,21,2,4
843000000.0,21,22,2,1
843000000.0,26,14,2,3
843000000.0,22,13,3,5
843000000.0,21,19,3,1
843000000.0,24,16,4,4
844000000.0,13,26,3,7
844000000.0,26,20,3,2
844000000.0,19,21,3,1
844000000.0,16,20,2,3
844000000.0,20,19,3,1
844000000.0,18,22,4,3
844000000.0,18,13,5,2
844000000.0,21,12,4,2
844000000.0,15,20,3,3
844000000.0,17,22,3,2
844000000.0,23,19,4,2
844000000.0,16,21,3,3
844000000.0,14,15,4,1
844000000.0,24,24,5,4
844000000.0,26,17,4,2
844000000.0,13,12,4,1
844000000.0,25,16,2,4
844000000.0,11,22,4,4
844000000.0,19,17,4,1
844000000.0,12,26,4,7
844000000.0,24,26,6,1
844000000.0,15,19,4,3
845000000.0,20,24,5,4
845000000.0,14,22,5,3
845000000.0,17,17,4,2
845000000.0,22,23,4,1
845000000.0,25,21,3,2
845000000.0,13,24,5,5
845000000.0,26,18,5,3
845000000.0,12,16,5,1
845000000.0,21,25,5,2
845000000.0,16,25,4,6
845000000.0,15,26,5,8
845000000.0,24,20,7,4
845000000.0,21,13,6,3
845000000.0,13,14,6,1
845000000.0,19,22,5,2
845000000.0,23,18,5,3
845000000.0,26,20,6,4
845000000.0,17,13,5,1
845000000.0,18,19,6,1
845000000.0,12,12,6,2
845000000.0,11,13,5,1
845000000.0,22,15,5,4
845000000.0,14,20,6,2
845000000.0,14,26,7,6
845000000.0,18,12,7,2
846000000.0,22,20,6,2
846000000.0,23,22,6,1
846000000.0,15,20,6,3
846000000.0,24,14,8,6
846000000.0,26,26,7,3
846000000.0,16,13,5,1
846000000.0,25,18,4,4
846000000.0,19,20,6,1
846000000.0,13,18,7,3
846000000.0,11,16,6,1
846000000.0,21,15,7,2
846000000.0,26,21,8,1
846000000.0,22,22,7,2
846000000.0,18,12,8,2
846000000.0,16,24,6,5
846000000.0,12,23,7,4
846000000.0,24,24,9,3
846000000.0,13,17,8,1
846000000.0,16,22,7,4
847000000.0,21,12,8,2
847000000.0,20,17,6,1
847000000.0,18,24,9,4
847000000.0,19,23,7,2
847000000.0,25,17,5,3
847000000.0,26,24,9,1
847000000.0,24,22,10,1
847000000.0,23,13,7,3
847000000.0,11,13,7,1
847000000.0,17,24,6,3
847000000.0,11,24,8,4
847000000.0,26,20,10,3
847000000.0,19,18,8,1
847000000.0,13,23,9,5
847000000.0,23,12,8,4
847000000.0,17,18,7,1
847000000.0,24,18,11,3
847000000.0,25,26,6,1
847000000.0,22,23,8,1
847000000.0,14,17,8,1
847000000.0,24,19,12,2
847000000.0,15,17,7,1
847000000.0,18,16,10,2
848000000.0,19,19,9,2
848000000.0,16,21,9,4
848000000.0,13,16,10,1
848000000.0,26,22,11,1
848000000.0,23,16,9,5
848000000.0,22,24,9,1
848000000.0,11,14,9,1
848000000.0,12,12,8,2
848000000.0,13,15,11,1
848000000.0,26,14,12,4
848000000.0,15,16,8,1
848000000.0,20,17,8,1
848000000.0,22,13,10,4
848000000.0,23,17,10,2
848000000.0,25,24,7,1
848000000.0,24,25,13,1
848000000.0,20,20,9,2
848000000.0,12,20,9,4
848000000.0,16,21,10,2
849000000.0,11,18,10,3
849000000.0,26,22,13,1
849000000.0,24,21,14,1
849000000.0,22,23,11,1
849000000.0,25,14,8,4
849000000.0,13,19,12,3
849000000.0,23,20,11,2
849000000.0,17,12,8,1
849000000.0,17,21,9,2
849000000.0,18,18,11,2
849000000.0,21,13,9,3
849000000.0,25,17,9,3
849000000.0,22,12,12,4
849000000.0,14,24,9,4
849000000.0,16,14,11,1
849000000.0,15,24,9,6
849000000.0,26,21,14,1
849000000.0,12,24,10,6
849000000.0,13,19,13,3
849000000.0,20,19,10,1
849000000.0,21,21,10,2
849000000.0,16,17,12,1
849000000.0,24,22,15,1
850000000.0,20,25,11,3
850000000.0,25,22,10,1
850000000.0,18,20,12,1
850000000.0,15,16,10,1
850000000.0,12,12,11,2
850000000.0,22,12,13,4
850000000.0,11,12,12,1
850000000.0,23,23,12,6
850000000.0,24,19,16,4
850000000.0,21,16,11,2
850000000.0,17,26,11,3
850000000.0,13,22,14,5
850000000.0,15,12,11,1
850000000.0,11,22,13,4
850000000.0,16,21,13,2
850000000.0,18,21,13,3
850000000.0,26,15,16,5
850000000.0,17,23,12,2
851000000.0,22,24,14,1
851000000.0,21,14,12,2
851000000.0,16,16,14,2
851000000.0,25,25,11,2
851000000.0,18,13,14,2
851000000.0,24,26,17,1
851000000.0,15,16,12,1
851000000.0,23,25,13,2
851000000.0,13,12,15,1
851000000.0,19,25,11,5
851000000.0,19,22,12,7
851000000.0,23,13,14,3
851000000.0,25,12,12,5
851000000.0,15,21,13,4
851000000.0,20,20,13,2
851000000.0,18,12,15,2
851000000.0,22,26,15,2
851000000.0,26,17,17,2
851000000.0,24,20,18,2
851000000.0,11,14,15,1
851000000.0,24,19,19,2
851000000.0,11,18,16,2
851000000.0,16,15,15,1
852000000.0,21,19,14,1
852000000.0,20,12,14,2
852000000.0,25,19,13,4
852000000.0,12,14,14,1
852000000.0,15,14,14,1
852000000.0,22,12,16,3
852000000.0,26,26,18,2
852000000.0,23,18,15,3
852000000.0,18,23,16,4
852000000.0,12,18,15,3
852000000.0,26,26,19,2
852000000.0,17,26,14,3
852000000.0,24,20,20,3
852000000.0,21,18,15,2
852000000.0,22,24,17,1
852000000.0,19,22,14,3
852000000.0,16,21,16,3
852000000.0,20,12,15,3
852000000.0,14,19,11,1
852000000.0,25,18,14,4
852000000.0,19,17,15,1
852000000.0,11,18,18,2
852000000.0,14,14,12,2
852000000.0,24,14,21,5
853000000.0,18,19,17,1
853000000.0,16,14,17,2
853000000.0,13,25,16,7
853000000.0,22,16,18,4
853000000.0,23,19,16,2
853000000.0,12,21,16,5
853000000.0,25,18,15,3
853000000.0,15,20,16,3
853000000.0,26,20,21,2
853000000.0,20,23,16,1
853000000.0,17,15,15,1
853000000.0,12,18,17,3
853000000.0,19,13,16,2
853000000.0,24,22,22,1
853000000.0,22,23,19,1
853000000.0,23,19,17,4
853000000.0,16,26,18,5
853000000.0,12,20,18,3
854000000.0,14,20,13,3
854000000.0,21,26,16,2
854000000.0,20,15,17,2
854000000.0,15,12,17,1
854000000.0,24,17,23,3
854000000.0,26,20,22,2
854000000.0,13,21,17,4
854000000.0,22,20,20,4
854000000.0,19,16,17,1
854000000.0,18,14,18,2
854000000.0,17,17,16,2
854000000.0,13,15,18,1
854000000.0,22,25,21,1
854000000.0,26,21,23,1
854000000.0,11,17,19,1
854000000.0,12,16,19,1
854000000.0,25,17,16,3
854000000.0,15,19,18,3
854000000.0,16,24,19,5
854000000.0,26,17,24,2
855000000.0,14,15,15,1
855000000.0,11,13,20,1
855000000.0,23,24,18,2
855000000.0,24,17,24,3
855000000.0,13,15,19,1
855000000.0,22,12,22,6
855000000.0,21,17,18,1
855000000.0,18,21,19,1
855000000.0,24,24,25,4
855000000.0,19,13,18,3
