rts,src,dest,seqn,hops
881000000.0,13,21,0,4
881000000.0,17,23,0,3
882000000.0,4,17,0,3
882000000.0,23,14,0,5
882000000.0,1,16,0,5
882000000.0,27,22,0,1
882000000.0,25,17,0,3
882000000.0,28,17,0,4
882000000.0,34,17,0,3
882000000.0,29,16,0,5
882000000.0,32,19,0,3
882000000.0,8,14,0,2
882000000.0,31,14,0,3
882000000.0,30,13,0,4
882000000.0,18,26,0,4
882000000.0,12,26,0,5
882000000.0,2,18,0,4
882000000.0,23,23,1,2
882000000.0,17,23,1,3
882000000.0,24,23,0,1
882000000.0,30,20,1,6
882000000.0,22,13,1,6
882000000.0,27,22,1,1
882000000.0,33,19,0,6
882000000.0,15,14,1,1
882000000.0,14,17,0,1
882000000.0,28,26,1,1
882000000.0,29,23,1,3
882000000.0,25,19,1,6
882000000.0,18,16,1,2
882000000.0,8,14,1,2
882000000.0,34,16,1,6
882000000.0,7,26,1,4
882000000.0,6,15,0,2
882000000.0,36,21,1,6
882000000.0,20,17,0,1
882000000.0,31,19,1,6
882000000.0,12,17,1,1
882000000.0,29,23,2,3
882000000.0,15,22,2,6
883000000.0,5,20,0,4
883000000.0,33,14,1,3
883000000.0,6,12,1,2
883000000.0,21,19,0,1
883000000.0,18,14,2,2
883000000.0,32,22,2,2
883000000.0,34,13,2,5
883000000.0,22,20,2,7
883000000.0,13,19,1,3
883000000.0,8,15,2,2
883000000.0,11,13,2,1
883000000.0,30,12,2,4
883000000.0,14,12,1,2
883000000.0,23,12,2,5
883000000.0,2,17,1,2
883000000.0,26,16,1,6
883000000.0,24,12,1,4
883000000.0,9,23,1,5
883000000.0,28,22,2,1
883000000.0,21,14,1,2
883000000.0,12,19,2,3
883000000.0,8,20,3,3
883000000.0,9,13,2,1
883000000.0,28,26,3,1
883000000.0,15,16,3,3
883000000.0,32,19,3,6
883000000.0,35,15,0,4
883000000.0,34,21,3,7
883000000.0,36,21,3,5
883000000.0,20,16,1,2
883000000.0,31,26,2,1
883000000.0,11,19,3,2
883000000.0,25,20,2,7
883000000.0,7,26,3,4
883000000.0,19,19,1,2
883000000.0,23,14,3,3
883000000.0,9,19,3,3
884000000.0,31,20,3,6
884000000.0,22,23,4,1
884000000.0,10,14,2,1
884000000.0,17,15,2,2
884000000.0,16,20,1,2
884000000.0,5,22,1,3
884000000.0,18,22,4,8
884000000.0,27,25,3,1
884000000.0,26,17,2,5
884000000.0,28,22,4,1
884000000.0,36,20,4,5
884000000.0,12,14,3,2
884000000.0,15,19,4,3
884000000.0,14,15,3,1
884000000.0,2,14,3,3
884000000.0,25,20,3,7
884000000.0,30,14,4,6
884000000.0,34,19,4,7
884000000.0,6,22,2,6
884000000.0,35,17,1,3
884000000.0,29,16,4,5
884000000.0,33,16,2,7
884000000.0,7,21,4,5
884000000.0,11,25,4,4
884000000.0,22,19,5,3
884000000.0,1,18,3,6
884000000.0,28,22,5,1
884000000.0,14,26,4,7
884000000.0,8,18,5,4
884000000.0,9,26,4,7
884000000.0,2,12,4,2
884000000.0,20,19,2,1
884000000.0,5,17,2,2
884000000.0,32,14,4,6
884000000.0,36,15,5,3
884000000.0,18,15,5,2
884000000.0,19,24,2,3
884000000.0,31,22,4,2
884000000.0,15,25,5,7
884000000.0,1,16,4,6
884000000.0,19,15,3,2
884000000.0,29,13,5,8
885000000.0,4,16,5,5
885000000.0,15,24,6,8
885000000.0,12,22,4,7
885000000.0,25,18,5,8
885000000.0,10,16,3,1
885000000.0,33,18,3,8
885000000.0,31,21,5,7
885000000.0,18,22,6,4
885000000.0,32,19,5,5
885000000.0,16,12,2,1
885000000.0,6,26,3,7
885000000.0,21,21,4,3
885000000.0,26,22,4,1
885000000.0,7,14,5,2
885000000.0,19,14,4,2
885000000.0,35,12,3,3
885000000.0,1,21,5,5
885000000.0,34,26,6,2
885000000.0,21,18,5,2
885000000.0,2,25,6,3
885000000.0,18,20,7,1
885000000.0,27,23,5,1
885000000.0,17,25,3,3
885000000.0,24,19,4,9
885000000.0,12,23,5,8
885000000.0,31,19,6,7
886000000.0,19,21,5,1
886000000.0,30,21,7,9
886000000.0,25,23,6,2
886000000.0,11,23,6,8
886000000.0,12,23,6,9
886000000.0,21,14,6,2
886000000.0,22,20,6,2
886000000.0,15,17,7,1
886000000.0,6,18,4,4
886000000.0,34,18,7,8
886000000.0,8,23,7,9
886000000.0,28,14,7,7
886000000.0,14,17,7,1
886000000.0,4,17,7,3
886000000.0,29,17,7,5
886000000.0,5,19,4,4
886000000.0,7,14,6,2
886000000.0,27,14,6,6
886000000.0,10,26,4,5
886000000.0,12,15,7,1
886000000.0,18,15,8,2
886000000.0,17,17,4,5
886000000.0,11,12,7,1
886000000.0,32,22,6,2
886000000.0,5,14,5,1
886000000.0,31,14,7,7
886000000.0,25,24,7,1
886000000.0,7,15,7,3
886000000.0,21,18,7,1
886000000.0,6,13,5,4
886000000.0,33,14,4,3
886000000.0,15,13,8,2
886000000.0,16,26,3,4
886000000.0,28,14,8,5
886000000.0,19,26,6,4
886000000.0,13,12,5,1
886000000.0,2,12,7,3
887000000.0,21,25,8,2
887000000.0,31,25,8,1
887000000.0,24,26,6,1
887000000.0,35,23,5,8
887000000.0,7,16,8,1
887000000.0,34,26,9,1
887000000.0,22,19,7,2
887000000.0,23,15,5,5
887000000.0,11,12,8,1
887000000.0,9,13,7,1
887000000.0,28,17,9,3
887000000.0,15,13,9,2
887000000.0,33,15,5,6
887000000.0,18,26,9,4
887000000.0,19,26,7,4
887000000.0,25,23,8,18
887000000.0,5,14,7,1
887000000.0,9,13,8,1
887000000.0,22,19,8,2
887000000.0,11,15,9,1
887000000.0,2,12,8,3
887000000.0,17,23,6,4
887000000.0,1,26,7,3
887000000.0,21,21,9,2
887000000.0,7,13,10,1
888000000.0,21,14,10,3
888000000.0,9,14,9,1
888000000.0,23,23,6,2
888000000.0,8,15,10,1
888000000.0,6,13,7,4
888000000.0,33,22,7,2
888000000.0,28,25,10,1
888000000.0,5,13,8,2
888000000.0,32,23,8,2
888000000.0,20,23,4,3
888000000.0,19,22,8,1
888000000.0,27,23,8,1
888000000.0,8,26,11,4
888000000.0,20,15,5,2
888000000.0,6,25,8,3
888000000.0,9,12,10,1
888000000.0,27,24,9,1
888000000.0,34,23,11,3
888000000.0,23,15,7,5
888000000.0,24,22,8,1
888000000.0,28,24,11,1
888000000.0,13,12,8,1
888000000.0,33,25,8,2
888000000.0,36,24,10,4
889000000.0,13,17,9,1
889000000.0,35,22,8,3
889000000.0,22,21,10,2
889000000.0,9,16,11,1
889000000.0,18,19,13,1
889000000.0,33,25,9,2
889000000.0,14,15,11,1
889000000.0,1,13,9,3
889000000.0,16,23,6,9
